Activity,User,Trial Number,Time,Arduino Time,accel_X,accel_Y,accel_Z,gyro_X,gyro_Y,gyro_Z,GT
,,,60120.643,395.9100036621094,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.007330383,1
,,,60126.851,402.12298583984375,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.007330383,1
,,,60126.867,402.1289978027344,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.007330383,1
,,,60126.867,402.1310119628906,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.007330383,1
,,,60126.867,402.13299560546875,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.007330383,1
,,,60126.881,402.1390075683594,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.007330383,1
,,,60126.897,402.1650085449219,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.029321531,1
,,,60126.912,402.1839904785156,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.029321531,1
,,,60126.926,402.1940002441406,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.003665191,-0.030543262,1
,,,60126.941,402.1960144042969,9.469595909118652,-1.256231904,-1.294516921,0.2883284091949463,-0.006108652,-0.030543262,1
,,,60126.956,402.2300109863281,9.469595909118652,-1.256231904,-1.294516921,0.009773844,-0.006108652,-0.025656339,1
,,,60126.972,402.2399902,9.469595909118652,-1.256231904,-1.294516921,-0.006108652,-0.006108652,-0.020769419,1
,,,60127.017,402.2850036621094,9.469595909118652,-1.256231904,-0.976271689,-0.006108652,-0.002443461,-0.013439035,1
,,,60127.046,402.30499267578125,9.469595909118652,-1.322034478,-0.976271689,-0.003665191,0.003665191,-0.013439035,1
,,,60127.107,402.3599853515625,9.657432556152344,-1.371087313,-0.975075245,-0.010995574,0.007330383,-0.003665191,1
,,,60127.151,402.4200134277344,9.617950439453125,-1.395015597,-0.958325446,-0.018325957,0.00122173,-0.010995574,1
,,,60127.182,402.45001220703125,9.617950439453125,-1.275374532,-0.958325446,0.013439035043120384,0.00122173,-0.008552114,1
,,,60127.212,402.4670104980469,9.635896682739258,-1.275374532,-0.976271689,-0.004886922,-0.009773844,-0.008552114,1
,,,60127.256,402.52801513671875,9.635896682739258,-1.318445325,-0.949950635,-0.015882496,-0.010995574,-0.002443461,1
,,,60127.287,402.5400085449219,9.639486312866211,-1.318445325,-0.978664458,-0.015882496,-0.012217305,-0.002443461,1
,,,60127.347,402.6029968261719,9.547362327575684,-1.371087313,-0.923629522,-0.10751228,-0.017104227,-0.015882496,1
,,,60127.393,402.6619873046875,9.611968994140625,-1.232303739,-0.987039387,-0.197920337,-0.041538838,-0.125838235,1
,,,60127.422,402.6960144042969,9.611968994140625,-1.311266899,-0.9678967,-0.339641094,-0.041538838,-0.17715092,1
,,,60127.452,402.70599365234375,9.56770134,-1.311266899,-0.920040309,-0.360410482,-0.090408057,-0.17715092,1
,,,60127.497,402.7659912109375,9.56770134,-1.339980721,-0.972682416,-0.305432618,-0.169820547,-0.335975885,1
,,,60127.526,402.7959899902344,9.56770134,-1.251446247,-1.036092162,-0.211359382,-0.169820547,-0.394618928,1
,,,60127.556,402.8160095214844,9.491130828857422,-1.251446247,-1.092323661,-0.117286123,-0.277332813,-0.394618928,1
,,,60127.602,402.8760070800781,9.347561836242676,-0.949950635,-1.171286702,-0.160046697,-0.425162196,-0.570548177,1
,,,60127.633,402.90399169921875,9.347561836242676,-0.632901609,-1.402194262,-0.097738437,-0.425162196,-0.690277696,1
,,,60127.662,402.91400146484375,9.430113792419434,-0.632901609,-1.268195987,-0.245567828,-0.60597831,-0.690277696,1
,,,60127.706,402.9739990234375,9.333204269,0.33020952343940735,-1.670190215,-0.368962616,-0.693942904,-0.742812157,1
,,,60127.737,403.0039978027344,9.333204269,0.501296341,-2.342573404,-0.34452799,-0.693942904,-0.711047113,1
,,,60127.767,403.02398681640625,9.391829490661621,0.501296341,-2.573480606,-0.217468023,-0.713490605,-0.711047113,1
,,,60127.812,403.0840148925781,9.389435768127441,1.2323037385940552,-3.281756163,-0.134390354,-0.597426236,-0.660956204,1
,,,60127.843,403.1140137,9.389435768127441,1.3351950645446777,-3.613162041,-0.226020142,-0.597426236,-0.508239865,1
,,,60127.872,403.1239929199219,9.127422332763672,1.3351950645446777,-2.7577281,-0.460592389,-0.2846632,-0.508239865,1
,,,60127.917,403.1839904785156,9.226724624633789,1.313659668,-2.890529871,-0.976162672,-0.183259562,-0.184481308,1
,,,60127.947,403.2170104980469,9.226724624633789,1.3411771059036255,-2.782852888,-0.474031419,-0.183259562,-0.206472442,1
,,,60127.977,403.2300109863281,9.062816619873047,1.3411771059036255,-3.160918713,-0.351858377,-0.216246292,-0.206472442,1
,,,60128.022,403.2900085449219,8.843873023986816,1.5254244804382324,-3.175275564,-0.287106663,-0.211359382,-0.079412483,1
,,,60128.053,403.32000732421875,8.843873023986816,1.762313961982727,-3.220739603,-0.131946892,-0.211359382,-0.059864793,1
,,,60128.082,403.33599853515625,9.072387695,1.762313961982727,-3.091526985,-0.124616511,-0.123394772,-0.059864793,1
,,,60128.127,403.39801025390625,9.079565048217773,1.9022939205169678,-3.347558975,-0.083077677,-0.089186326,-0.018325957,1
,,,60128.156,403.41400146484375,9.079565048217773,1.9968104362487793,-3.343969584,-0.056199599,-0.089186326,-0.018325957,1
,,,60128.201,403.47198486328125,8.931209564208984,1.5744773149490356,-3.299702644,-0.02687807,-0.051312678,0.020769419,1
,,,60128.232,403.50201416015625,8.931209564208984,2.1367905139923096,-3.192025423,0.14905111491680145,-0.051312678,0.035430182,1
,,,60128.263,403.5150146484375,9.066405296325684,2.1367905139923096,-3.138186932,0.13805554807186127,0.040317103,0.035430182,1
,,,60128.321,403.57501220703125,8.890533447265625,2.2648067474365234,-3.035295725,0.068416908,0.14294245839118958,0.1661553531885147,1
,,,60128.366,403.6359863,8.922836303710938,1.6821542978286743,-2.998206854,-0.014660765,0.15027284622192383,0.1771509200334549,1
,,,60128.397,403.65301513671875,9.121438980102539,1.6821542978286743,-2.962314367,-0.103847094,0.20891590416431427,0.1771509200334549,1
,,,60128.441,403.7120056152344,9.049654960632324,1.2921241521835327,-2.829512596,-0.073303826,0.17959438264369965,0.091629781,1
,,,60128.473,403.74200439453125,9.049654960632324,1.3950155973434448,-2.746960402,0.034208454,0.17959438264369965,0.043982297,1
,,,60128.502,403.7550048828125,9.154939651489258,1.3950155973434448,-2.677568674,0.090408057,0.1111774742603302,0.043982297,1
,,,60128.546,403.81500244140625,9.032906532287598,1.597209095954895,-2.663211346,0.0842994,0.081855945,0.00122173,1
,,,60128.577,403.84600830078125,9.032906532287598,1.552941918373108,-2.566302299,0.042760565876960754,0.081855945,0,1
,,,60128.606,403.8630065917969,9.132207870483398,1.552941918373108,-2.531606436,0.041538838,0.021991148591041565,0,1
,,,60128.651,403.9219970703125,9.087940216064453,1.7970099449157715,-2.578266382,0.031764992,-0.017104227,-0.043982297,1
,,,60128.682,403.9519958496094,9.087940216064453,1.6809579133987427,-2.560320377,-0.068416908,-0.017104227,-0.008552114,1
,,,60128.711,403.96600341796875,9.108279228,1.6809579133987427,-2.726621389,-0.030543262,-0.048869219,-0.008552114,1
,,,60128.756,404.02801513671875,9.165706634521484,1.6354942321777344,-2.781656265,-0.020769419,-0.057421334,-0.059864793,1
,,,60128.786,404.04400634765625,9.165706634521484,1.710868239402771,-2.796013355,-0.0280998,-0.057421334,-0.059864793,1
,,,60128.831,404.10198974609375,9.117850303649902,1.6187444925308228,-2.835494757,-0.02321288,-0.018325957,-0.025656339,1
,,,60128.862,404.12799072265625,9.117850303649902,1.6737794876098633,-2.776870966,-0.002443461,-0.018325957,-0.009773844,1
,,,60128.906,404.17498779296875,9.126225471496582,1.657029628753662,-2.737389088,0,-0.010995574,0.007330383,1
,,,60128.936,404.2049865722656,9.126225471496582,1.4931213855743408,-2.750549555,0.013439035043120384,-0.010995574,0.009773844,1
,,,60128.967,404.22198486328125,9.171689034,1.4931213855743408,-2.859423399,0.065973446,-0.004886922,0.009773844,1
,,,60129.027,404.2829895019531,9.156135559082031,1.5613168478012085,-2.958725214,0.1062905490398407,0.014660765416920185,-0.003665191,1
,,,60129.056,404.31500244140625,9.128618240356445,1.5613168478012085,-2.754138947,0.12461651116609573,0.059864792972803116,-0.003665191,1
,,,60129.102,404.3710021972656,9.233901977539062,1.482353687286377,-2.854637384,0.098960169,0.097738437,0.054977871,1
,,,60129.132,404.3999938964844,9.233901977539062,1.7324036359786987,-2.782852888,0.0842994,0.097738437,0.078190751,1
,,,60129.162,404.4169922,9.523433685302734,1.7324036359786987,-2.523231506,0.036651913076639175,0.10873401165008545,0.078190751,1
,,,60129.207,404.4750061035156,10.800005912780762,2.007578134536743,-2.488535643,-0.007330383,0.10873401165008545,0.075747289,1
,,,60129.238,404.5050048828125,10.800005912780762,1.8269201517105103,-2.343769789,-0.489913911,0.10873401165008545,-0.006108652,1
,,,60129.268,404.5220031738281,15.341582298278809,1.8269201517105103,-1.07796669,-1.275486588,0.034208454,-0.006108652,1
